age,taille,poids,revenu_estime_mois,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret
23,167.5,68.7,3428,,0.94,,558.31,
73,182.7,92.4,2144,,0.97,,5000.0,
31,169.6,56.4,1190,,0.09,,5000.0,
49,157.3,85.9,3252,1.0,0.65,,1113.67,
64,169.6,67.6,2719,2.0,0.96,,10000.0,
45,155.1,110.8,4867,2.0,0.15,675.0,,
38,163.5,60.8,2603,4.0,0.98,794.0,5000.0,40000.0
20,166.7,47.2,685,0.0,0.84,,1488.71,
54,166.0,63.5,2094,,0.13,685.0,5000.0,40000.0
71,176.9,77.3,2095,,0.87,,612.98,
21,166.9,72.6,1883,,0.45,,,
22,175.9,61.3,4643,,0.68,,5000.0,
53,152.6,58.6,2967,,0.91,791.0,,
74,169.0,73.2,5294,,0.28,518.0,682.19,40000.0
47,173.4,96.2,3293,,0.6,,5000.0,
54,184.7,67.3,2729,,0.46,,860.39,
66,171.6,46.5,1883,,0.33,,10000.0,
33,180.3,58.4,893,,0.87,506.0,5000.0,40000.0
54,184.2,41.8,3407,1.0,0.38,,5000.0,
34,171.3,93.9,2176,,0.1,,,
32,160.4,71.9,872,1.0,0.44,,10000.0,
24,169.2,60.7,1804,,0.85,376.0,10000.0,40000.0
36,170.4,83.9,1717,,0.25,605.0,10000.0,40000.0
67,190.6,65.6,2371,,0.51,733.0,5000.0,40000.0
19,166.2,90.5,2976,1.0,0.87,,10000.0,
34,171.5,91.2,1991,,0.9,,5000.0,
52,162.4,111.3,4307,5.0,0.1,494.0,848.96,40000.0
46,162.6,53.1,3153,3.0,0.1,,5000.0,
62,174.8,99.9,500,,0.43,,544.85,
22,176.8,79.9,4869,,0.75,627.0,5000.0,40000.0
38,194.9,94.7,2408,,0.47,502.0,5000.0,40000.0
75,168.7,66.7,1097,,0.32,,1139.11,
42,165.4,85.2,1998,,0.26,,10000.0,
46,171.5,63.4,1995,,0.72,,598.29,
41,160.8,65.3,3947,5.0,0.39,475.0,873.95,40000.0
47,177.4,76.1,3702,,0.25,,5000.0,
22,165.2,46.9,2483,4.0,0.32,750.0,,
32,167.9,50.8,1129,1.0,0.5,,,
26,168.3,74.1,3082,,0.04,761.0,10000.0,40000.0
50,175.9,74.9,2216,0.0,0.89,,10000.0,
64,158.8,70.6,1412,,0.23,,5000.0,
42,154.1,71.9,2348,,0.48,729.0,,
49,162.1,53.1,2930,,0.85,577.0,5000.0,40000.0
54,166.1,54.8,4113,,0.35,803.0,10000.0,40000.0
30,181.5,89.3,3830,,0.15,839.0,,
